Footprint name,Library name,Description,Tags,Package type,Spacing between rows,Number of pads,Pitch,Pad length,Pad width,Body width max,Body length max,Pad shape,Drill size,Body width
DIP-10_W7.62mm,Housings_DIP,"10-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,10,2.54,1.6,1.6,7.2,14.6,oval,0.8,6.5
DIP-10_W7.62mm_LongPads,Housings_DIP,"10-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,10,2.54,2.3,1.6,7.2,14.6,oval,0.8,6.5
DIP-14_W7.62mm,Housings_DIP,"14-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,14,2.54,1.6,1.6,7.2,19.68,oval,0.8,6.5
DIP-14_W7.62mm_LongPads,Housings_DIP,"14-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,14,2.54,2.3,1.6,7.2,19.68,oval,0.8,6.5
DIP-16_W7.62mm,Housings_DIP,"16-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,16,2.54,1.6,1.6,7.2,22.22,oval,0.8,6.5
DIP-16_W7.62mm_LongPads,Housings_DIP,"16-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,16,2.54,2.3,1.6,7.2,22.22,oval,0.8,6.5
DIP-18_W7.62mm,Housings_DIP,"18-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,18,2.54,1.6,1.6,7.2,24.76,oval,0.8,6.5
DIP-18_W7.62mm_LongPads,Housings_DIP,"18-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,18,2.54,2.3,1.6,7.2,24.76,oval,0.8,6.5
DIP-20_W7.62mm,Housings_DIP,"20-lead dip package, row spacing 7.62 mm (300 mils)",dil dip 2.54 300,DIL,7.62,20,2.54,1.6,1.6,7.2,27.3,oval,0.8,6.5
DIP-20_W7.62mm_LongPads,Housings_DIP,"20-lead dip package, row spacing 7.62 mm (300 mils), longer pads",dil dip 2.54 300,DIL,7.62,20,2.54,2.3,1.6,7.2,27.3,oval,0.8,6.5
