Footprint name,Library name,Package type,Description,Tags,Spacing between rows,Number of pads in row,Number of rows,Pitch,Pad length,Pad width,Drill size,Pad shape,Body width max,Body length max
Pin_Header_Straight_01x01_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,1,1,2,1.35,1.35,0.8,oval,2,2
Pin_Header_Straight_01x02_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,2,1,2,1.35,1.35,0.8,oval,2,4
Pin_Header_Straight_01x03_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,3,1,2,1.35,1.35,0.8,oval,2,6
Pin_Header_Straight_01x04_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,4,1,2,1.35,1.35,0.8,oval,2,8
Pin_Header_Straight_01x05_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,5,1,2,1.35,1.35,0.8,oval,2,10
Pin_Header_Straight_01x06_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,6,1,2,1.35,1.35,0.8,oval,2,12
Pin_Header_Straight_01x07_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,7,1,2,1.35,1.35,0.8,oval,2,14
Pin_Header_Straight_01x08_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,8,1,2,1.35,1.35,0.8,oval,2,16
Pin_Header_Straight_01x09_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,9,1,2,1.35,1.35,0.8,oval,2,18
Pin_Header_Straight_01x10_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,10,1,2,1.35,1.35,0.8,oval,2,20
Pin_Header_Straight_01x11_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,11,1,2,1.35,1.35,0.8,oval,2,22
Pin_Header_Straight_01x12_Pitch2.00mm,Pin_Headers,pin_headers_straight,"Pin header, straight",pin header straight,2,12,1,2,1.35,1.35,0.8,oval,2,24
