Footprint name,Library name,Package type,Description,Tags,Spacing between rows,Number of pads in row,Number of rows,Pitch,Pad length,Pad width,Drill size,Pad shape,Pin thickness,Body height,Body width max,Body length max,Body height max,Overall length
Socket_Strip_Angled_01x01_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,1,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,2.54,8.5,10.25
Socket_Strip_Angled_01x02_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,2,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,5.08,8.5,10.25
Socket_Strip_Angled_01x03_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,3,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,7.62,8.5,10.25
Socket_Strip_Angled_01x04_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,4,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,10.16,8.5,10.25
Socket_Strip_Angled_01x05_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,5,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,12.7,8.5,10.25
Socket_Strip_Angled_01x06_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,6,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,15.24,8.5,10.25
Socket_Strip_Angled_01x07_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,7,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,17.78,8.5,10.25
Socket_Strip_Angled_01x08_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,8,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,20.32,8.5,10.25
Socket_Strip_Angled_01x09_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,9,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,22.86,8.5,10.25
Socket_Strip_Angled_01x10_Pitch2.54mm,Socket_Strips,socket_strips_angled,"Socket strip, angled",socket strip angled,2.54,10,1,2.54,1.7,1.7,1,oval,0.64,2.5,2.54,25.4,8.5,10.25
